word,hint,sentence,bonus
under,below something,The cat is hiding under the bed.,
such,used to emphasize a quality,That was such a fun day!,
much,a large amount,How much juice is left in the bottle?,
young,not old,The young puppy loves to play.,
touch,to feel something with your hand,Please don't touch the wet paint.,
use,to make use of something for a purpose,You can use my pencil if you need one.,
your,"shows something belongs to you, not ""you're""",Is this your jacket?,
you,refers to the person being spoken to,Are you coming to the party?,
unit,one whole part of something bigger,We studied a unit on plants in science class.,
cute,"pleasing and attractive, often for something small",The baby rabbit is so cute.,
few,a small number of something,I only have a few crayons left.,
new,"recently made or bought, sounds like ""knew""",She got a new backpack for school.,
fuel,"something burned to make energy, like gas",The car needs more fuel before the trip.,
human,a person,"Every human needs food, water, and sleep.",
music,"sounds arranged in a pleasing way, like songs",She loves listening to music on the radio.,
